city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Raleigh,27606,313250.2346938776,11,46589.0,8967.0,51959.0,19.247032561334223
Raleigh,27607,389136.39795918367,4,29536.0,2870.0,77092.0,9.716955579631637
Raleigh,27608,603700.0848708487,3,11054.0,534.0,107875.0,4.8308304686086485
Raleigh,27609,307205.8605442177,6,32870.0,3395.0,58983.0,10.328567082446
Raleigh,27610,166793.4081632653,14,78475.0,15074.0,50092.0,19.208665179993627
Raleigh,27612,339524.77210884355,5,38748.0,3218.0,76765.0,8.304944771343036
Raleigh,27613,347824.79931972787,5,42933.0,1760.0,96185.0,4.0994107097104795
Raleigh,27614,378660.5714285714,10,33287.0,1239.0,106469.0,3.7221738216120412
Raleigh,27615,328572.8231292517,8,43461.0,2412.0,82214.0,5.549803271898944
Raleigh,27616,214721.5051194539,7,53364.0,6027.0,68084.0,11.29413087474702
Raleigh,27617,293885.4863945578,1,18856.0,1178.0,83309.0,6.247348324140857
Ramseur,27316,111878.22807017544,4,7157.0,1765.0,39570.0,24.661170881654325
Randleman,27317,170290.11228070175,4,16640.0,2666.0,43754.0,16.021634615384617
Red Oak,27809,176195.8956043956,4,5083.0,932.0,47940.0,18.335628565807593
Red Springs,28377,99578.75294117647,4,12933.0,4682.0,28176.0,36.20196396814351
Reidsville,27320,164243.97619047618,13,38634.0,6678.0,41771.0,17.285292747321012
Rennert,28386,81210.77777777778,1,5997.0,2230.0,31092.0,37.185259296314825
Richfield,28137,165927.80272108843,1,3248.0,189.0,52167.0,5.818965517241379
Richlands,28574,163231.0,4,18116.0,2502.0,49267.0,13.810995804813425
Roanoke Rapids,27870,128169.1768707483,7,25792.0,6125.0,36287.0,23.74767369727047
Roaring River,28669,96649.95634920635,1,2663.0,264.0,41250.0,9.913631242959069
Robbins,27325,127693.10714285714,3,6767.0,1391.0,43333.0,20.55563765331757
Rockingham,28379,144279.25102880658,8,24403.0,5713.0,36806.0,23.41105601770274
Rockwell,28138,198397.98299319728,2,9912.0,1051.0,50331.0,10.603309120258272
Rocky Mount,27801,63698.14965986394,6,19737.0,5538.0,32346.0,28.058975528195774
